aane[V][Intr][Opt][NEG][2Du]	aanefqaaftek
aane[V][Intr][Opt][NEG][2Pl]	aanefqaafsi
aane[V][Intr][Opt][NEG][2Sg]	aanefqaavek
aghula[V][Intr][Opt][NEG][2Du]	aghulafqaaftek
aghula[V][Intr][Opt][NEG][2Pl]	aghulafqaafsi
aghula[V][Intr][Opt][NEG][2Sg]	aghulafqaavek
alleg[V][Intr][Opt][NEG][2Du]	allefqaaftek
alleg[V][Intr][Opt][NEG][2Pl]	allefqaafsi
alleg[V][Intr][Opt][NEG][2Sg]	allefqaavek
aqii[V][Intr][Opt][NEG][2Du]	aqiifqaaftek
aqii[V][Intr][Opt][NEG][2Pl]	aqiifqaafsi
aqii[V][Intr][Opt][NEG][2Sg]	aqiifqaavek
aqume[V][Intr][Opt][NEG][2Du]	aqumefqaaftek
aqume[V][Intr][Opt][NEG][2Pl]	aqumefqaafsi
aqume[V][Intr][Opt][NEG][2Sg]	aqumefqaavek
gaagh[V][Intr][Opt][NEG][2Du]	gaafqaaftek
gaagh[V][Intr][Opt][NEG][2Pl]	gaafqaafsi
gaagh[V][Intr][Opt][NEG][2Sg]	gaafqaavek
guute[V][Intr][Opt][NEG][2Du]	guutefqaaftek
guute[V][Intr][Opt][NEG][2Pl]	guutefqaafsi
guute[V][Intr][Opt][NEG][2Sg]	guutefqaavek
ingaghte[V][Intr][Opt][NEG][2Du]	ingaghtefqaaftek
ingaghte[V][Intr][Opt][NEG][2Pl]	ingaghtefqaafsi
ingaghte[V][Intr][Opt][NEG][2Sg]	ingaghtefqaavek
inghu[V][Intr][Opt][NEG][2Du]	inghufqaaftek
inghu[V][Intr][Opt][NEG][2Pl]	inghufqaafsi
inghu[V][Intr][Opt][NEG][2Sg]	inghufqaavek
itegh[V][Intr][Opt][NEG][2Du]	itefqaaftek
itegh[V][Intr][Opt][NEG][2Pl]	itefqaafsi
itegh[V][Intr][Opt][NEG][2Sg]	itefqaavek
kaaw[V][Intr][Opt][NEG][2Du]	kaafqaaftek
kaaw[V][Intr][Opt][NEG][2Pl]	kaafqaafsi
kaaw[V][Intr][Opt][NEG][2Sg]	kaafqaavek
lata[V][Intr][Opt][NEG][2Du]	latafqaaftek
lata[V][Intr][Opt][NEG][2Pl]	latafqaafsi
lata[V][Intr][Opt][NEG][2Sg]	latafqaavek
liite[V][Intr][Opt][NEG][2Du]	liitefqaaftek
liite[V][Intr][Opt][NEG][2Pl]	liitefqaafsi
liite[V][Intr][Opt][NEG][2Sg]	liitefqaavek
mayugh[V][Intr][Opt][NEG][2Du]	mayufqaaftek
mayugh[V][Intr][Opt][NEG][2Pl]	mayufqaafsi
mayugh[V][Intr][Opt][NEG][2Sg]	mayufqaavek
nagate[V][Intr][Opt][NEG][2Du]	nagatefqaaftek
nagate[V][Intr][Opt][NEG][2Pl]	nagatefqaafsi
nagate[V][Intr][Opt][NEG][2Sg]	nagatefqaavek
nanglii[V][Intr][Opt][NEG][2Du]	nangliifqaaftek
nanglii[V][Intr][Opt][NEG][2Pl]	nangliifqaafsi
nanglii[V][Intr][Opt][NEG][2Sg]	nangliifqaavek
nekeve[V][Intr][Opt][NEG][2Du]	nekevefqaaftek
nekeve[V][Intr][Opt][NEG][2Pl]	nekevefqaafsi
nekeve[V][Intr][Opt][NEG][2Sg]	nekevefqaavek
pugimagh[V][Intr][Opt][NEG][2Du]	pugimafqaaftek
pugimagh[V][Intr][Opt][NEG][2Pl]	pugimafqaafsi
pugimagh[V][Intr][Opt][NEG][2Sg]	pugimafqaavek
qavagh[V][Intr][Opt][NEG][2Du]	qavafqaaftek
qavagh[V][Intr][Opt][NEG][2Pl]	qavafqaafsi
qavagh[V][Intr][Opt][NEG][2Sg]	qavafqaavek
qayugh[V][Intr][Opt][NEG][2Du]	qayufqaaftek
qayugh[V][Intr][Opt][NEG][2Pl]	qayufqaafsi
qayugh[V][Intr][Opt][NEG][2Sg]	qayufqaavek
qelpeghte[V][Intr][Opt][NEG][2Du]	qelpeghtefqaaftek
qelpeghte[V][Intr][Opt][NEG][2Pl]	qelpeghtefqaafsi
qelpeghte[V][Intr][Opt][NEG][2Sg]	qelpeghtefqaavek
tagi[V][Intr][Opt][NEG][2Du]	tagifqaaftek
tagi[V][Intr][Opt][NEG][2Pl]	tagifqaafsi
tagi[V][Intr][Opt][NEG][2Sg]	tagifqaavek
tuqute[V][Intr][Opt][NEG][2Du]	tuqutefqaaftek
tuqute[V][Intr][Opt][NEG][2Pl]	tuqutefqaafsi
tuqute[V][Intr][Opt][NEG][2Sg]	tuqutefqaavek
ukig[V][Intr][Opt][NEG][2Du]	ukifqaaftek
ukig[V][Intr][Opt][NEG][2Pl]	ukifqaafsi
ukig[V][Intr][Opt][NEG][2Sg]	ukifqaavek
umeg[V][Intr][Opt][NEG][2Du]	umefqaaftek
umeg[V][Intr][Opt][NEG][2Pl]	umefqaafsi
umeg[V][Intr][Opt][NEG][2Sg]	umefqaavek
