aghula-@~–(g)kayug[V→N][N][Abs][Unpd][Sg]	aghulakayuk
allakagh*[Quant_Qual][4Pl]	allakaghmeng
angyagh[N][Loc][3SgPoss][SgPosd]-ete[V][Intr][Ind][3Sg]	angyaanituq
angyagh[N][Loc][Unpd][Sg]-ete[V][Intr][Ind][3Sg]	angyametuq
aqumgagh*[Quant_Qual][1Sg]	aqumgaghma
ellnginagh*[Quant_Qual][1Pl]	ellnginaamta
ellnginagh*[Quant_Qual][1Sg]	ellnginaghma
ellnginagh*[Quant_Qual][3Pl]	ellnginiita
ellnginagh*[Quant_Qual][4Pl]	ellnginaghmeng
gaagh-@~–(g)kayugu[V→V]-@₁lleqe[V→V][V][Intr][Ind][3Sg]	gaaqayugullequq
gaagh-@~–(g)kayugu[V→V]-@₁lleqe[V→V][V][Trns][Ind][3Sg][3Sg]	gaaqayugulleqaa
gaagh-@~–(g)kayug[V→N][N][Abs][Unpd][Sg]	gaaqayuk
gaagh-@₁~:(i/u)magh*[V→V][Quant_Qual][4Du]	gaaghumaagmek
iggag-nga[V][Intr][Ind][3Sg]	iggagngaaq
iggag[N][Loc][Unpd][Sg]-ete[V][Intr][Ind][3Pl]	iggagmetut
iggag[N][Loc][Unpd][Sg]-ete[V][Intr][Ind][3Sg]	iggagmetuq
iggag-te[V][Intr][Ind][3Sg]	iggagtuq
iggag-te[V][Trns][Ind][3Sg][3Sg]	iggagtaa
ighnegh-tuumagh*[N→V][Quant_Qual][4Sg]	ighneghtuumaghmi
iingunagh*[Quant_Qual][3Sg]	iingunaan
ingagh*-nga[V][Intr][Ind][3Sg]	ingaghngaaq
ingagh*[Quant_Qual][1Du]	ingaamtung
ingagh*[Quant_Qual][1Sg]	ingaghma
ingagh*[Quant_Qual][2Sg]	ingaghpek
ingagh*[Quant_Qual][4Pl]	ingaghmeng
ingagh*-te[V][Intr][Ind][3Sg]	ingaghtuq
ingagh*-te[V][Trns][Ind][3Sg][3Sg]	ingaghtaa
itegh-@~–(g)kayug[V→N][N][Abs][Unpd][Sg]	iitqayuk
negh-@₁~:(i/u)magh*[V→V][Quant_Qual][1Sg]	neghumaghma
nekevghagh*[Quant_Qual][1Sg]	nekevghaghma
qepghagh-@₁~:(i/u)magh*[V→V][Quant_Qual][4Pl]	qepghaamaghmeng
qerngagh*[Quant_Qual][4Pl]	qerngaghmeng
