Qikmim Ilakumtaalleghpigaa

qikmim	qikmigh[N][Rel][Unpd][Sg]

------------------------
Quutmiit Ungipaghaat

quutmiit	Quutmii[N][Abs][Unpd][Pl]
quutmiit	Quutmii[N][Rel][Unpd][Pl]
quutmiit	qute-~fmii[N→N][N][Abs][Unpd][Pl]
quutmiit	qute-~fmii[N→N][N][Rel][Unpd][Pl]

ungipaghaat	ungipagh-–ghagh*[N→N][N][Abs][Unpd][Pl]
ungipaghaat	ungipagh-–ghagh*[N→N][N][Abs][3PlPoss][SgPosd]
ungipaghaat	ungipagh-–ghagh*[N→N][N][Rel][Unpd][Pl]
ungipaghaat	ungipagh[V][Trns][Ind][3Pl][3Sg]
ungipaghaat	ungipaghagh[N][Abs][3PlPoss][SgPosd]
ungipaghaat	Ungipagh-–ghagh*[N→N][N][Abs][Unpd][Pl]
ungipaghaat	Ungipagh-–ghagh*[N→N][N][Abs][3PlPoss][SgPosd]
ungipaghaat	Ungipagh-–ghagh*[N→N][N][Rel][Unpd][Pl]

------------------------


------------------------
Ayumirugllak kiyaghsimalghii qikmiq uqfigtuqami ellnginaghhaghmi.

kiyaghsimalghii	kiyaghte-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
kiyaghsimalghii	kiyaghte-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

qikmiq	qikmigh[N][Abs][Unpd][Sg]

ellnginaghhaghmi	ellngit-––i[N→V]-@₁~:(u)te[V→V]-@₁~fnaq[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]-mi[Encl]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~:(u)te[V→V]-@₁~fnaq[V→N]-–ghhagh*[N→N][N][Loc][Unpd][Sg]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~:(u)te[V→V]-@₁~fnaq[V→N]-–ghhagh*[N→N][N][Rel][4SgPoss][PlPosd]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~:(u)te[V→V]-@₁~fnaq[V→N]-–ghhagh*[N→N][N][Rel][4SgPoss][SgPosd]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]-mi[Encl]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Loc][Unpd][Sg]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][4SgPoss][PlPosd]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][4SgPoss][SgPosd]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~fnaq[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]-mi[Encl]
